round,row,semantic_status,failure_category,speech_quality_issue,comment
1,golden:dates,PASS,,NONE,"La fecha se verbaliza de forma semánticamente equivalente y BOE conserva íntegramente su identidad como acrónimo. No hay omisión, cambio de alcance ni alteración factual."
1,golden:legal,PASS,,NONE,"Las dos referencias jurídicas conservan estructura, orden y valores: art. 57.1.b) → artículo 57, apartado 1, letra b; D. A. 3.ª → disposición adicional tercera. La puntuación añadida no altera significado ni alcance."
1,golden:money,PASS,,NONE,"Las tres magnitudes conservan exactamente su valor y unidad: 1.234,56 euros se verbaliza correctamente como euros y céntimos; 8,5 % mantiene la coma decimal; 30 pb se expande correctamente a treinta puntos básicos. No hay cambio semántico ni de escala."
1,golden:nested-obligations,PASS,,NONE,"Se preservan íntegramente obligación, plazo, límite temporal, excepción y prohibición: «deberá», «antes del», «a más tardar», «salvo que» y «no podrá» permanecen sin cambios. Fecha, porcentaje y ejercicio se verbalizan sin alterar valor, alcance ni condición."
1,corpus:nested-regulation-01:s1,PASS,,OTHER,"La referencia conserva íntegramente número y año, por lo que no hay cambio semántico ni de alcance. No obstante, «Circular uno, dos mil veinticuatro» es una oralización poco natural; sería preferible «Circular uno de dos mil veinticuatro». Lo trataría como problema de calidad de la representación hablada, no de fidelidad semántica."
1,corpus:nested-regulation-01:s3,PASS,,NONE,"«CAPÍTULO I» se verbaliza correctamente como «CAPÍTULO uno» y conserva íntegramente la referencia y el ámbito del encabezado. El doble espacio y la coma final son artefactos de superficie sin efecto semántico."
1,corpus:nested-regulation-01:s4,FAIL,OTHER,OTHER,"La transformación conserva todas las palabras, pero elimina el límite estructural entre la referencia «Artículo 1.» y el encabezado «Objeto», produciendo «artículo unoObjeto». En un documento regulatorio, esa frontera forma parte de la estructura semántica y debe conservarse oralmente. G4A no lo detecta porque los literales sobreviven, pero G4B debe rechazarlo. No es SCOPE_CHANGE: es pérdida de frontera estructural que puede inducir una interpretación incorrecta."
1,corpus:nested-regulation-01:s5,FAIL,OTHER,OTHER,"La transformación conserva cifras, referencias y la cláusula «sin perjuicio de», pero vuelve a eliminar la frontera estructural entre «Artículo 2.» y «Ámbito de aplicación», produciendo «artículo dosÁmbito». Ese defecto basta para FAIL en G4B. Además, «Ley cuarenta y siete, dos mil tres» mantiene la referencia pero es una oralización subóptima; debería tratarse como issue de calidad separado, idealmente «Ley cuarenta y siete de dos mil tres»."
1,corpus:nested-regulation-01:s6,PASS,,NONE,"Exención, remisión, excepción «salvo que», umbral 8,5 % y duración de dos ejercicios quedan íntegros."
1,corpus:nested-regulation-01:s10,PASS,,NONE,"Romano II → dos; estructura del encabezado preservada."
1,corpus:nested-regulation-01:s11,FAIL,OTHER,OTHER,"Misma pérdida de frontera estructural: «artículo cincoInformación»."
1,corpus:nested-regulation-01:s12,PASS,,NONE,"Obligación, fecha límite, «a más tardar», hora y zona horaria conservadas."
1,corpus:nested-regulation-01:s13,PASS,,NONE,"1.234.567,89 € conserva exactamente magnitud y unidad."
1,corpus:nested-regulation-01:s14,PASS,,NONE,"12 meses y 25 pb conservados; «puntos básicos» es expansión correcta."
1,corpus:nested-regulation-01:s15,PASS,,NONE,"Umbral, obligación, T+2, días hábiles, «siempre que» y fecha permanecen semánticamente intactos."
1,corpus:nested-regulation-01:s19,PASS,,NONE,"Anexo I → uno, sin pérdida estructural."
1,corpus:nested-regulation-01:s20,PASS,,OTHER,"«3.500,00 euros» → «tres mil quinientos euros con cero céntimos» es exacto, aunque «con cero céntimos» es oralmente innecesario."
1,corpus:nested-regulation-01:s21,PASS,,OTHER,"«12,75 %» → «doce coma siete cinco por ciento» preserva exactamente el decimal, pero la lectura natural sería preferiblemente «doce coma setenta y cinco por ciento»."
1,corpus:nested-regulation-01:s22,PASS,,NONE,"Obligación y prohibición intactas; 2023 solo se verbaliza. Mantener «Anexo I» sin transformar es conservador."
1,corpus:nested-regulation-01:s23,PASS,,NONE,"Marcador (1) y fecha 31-12-2023 conservan identidad y valor."
1,corpus:financial-report-01:s1,PASS,,NONE,"Año 2025 verbalizado sin afectar «TERCER TRIMESTRE»."
