id,origin,construction_classes,source_text,spoken_text,transformations,verdict_y_n,note
golden:dates,golden,"acronyms,dates,numbers",Publicado el 15/07/2024 en el BOE.,Publicado el quince de julio de dos mil veinticuatro en el B O E.,acronyms[BOE -> B O E] | dates[15/07/2024 -> 15 de julio de 2024] | numbers[15 -> quince] | numbers[2024 -> dos mil veinticuatro],Y,
golden:legal,golden,"provision-abbrev,legal-references,ordinals",según el art. 57.1.b) y la D. A. 3.ª,"según el artículo cincuenta y siete, apartado uno, letra be y la disposición adicional tercera.","provision-abbrev[D. A.  -> disposición adicional ] | legal-references[art. 57.1.b) -> artículo cincuenta y siete, apartado uno, letra be] | ordinals[3.ª -> tercera.]",Y,"Re-verificado en round 2: salida idéntica tras el fix; sin regresión."
golden:money,golden,"currencies,percentages,basis-points","Deben 1.234,56 euros, un 8,5 % y 30 pb.","Deben mil doscientos treinta y cuatro euros con cincuenta y seis céntimos, un ocho coma cinco por ciento y treinta puntos básicos.","currencies[1.234,56 euros -> mil doscientos treinta y cuatro euros con cincuenta y seis céntimos] | percentages[8,5 % -> ocho coma cinco por ciento] | basis-points[30 pb -> treinta puntos básicos]",Y,
golden:nested-obligations,golden,"dates,percentages,numbers","La entidad deberá remitir antes del 15/07/2024, a más tardar, salvo que supere el 8,5 %; no podrá usar el modelo del ejercicio 2023.","La entidad deberá remitir antes del quince de julio de dos mil veinticuatro, a más tardar, salvo que supere el ocho coma cinco por ciento; no podrá usar el modelo del ejercicio dos mil veintitrés.","dates[15/07/2024 -> 15 de julio de 2024] | percentages[8,5 % -> ocho coma cinco por ciento] | numbers[15 -> quince] | numbers[2024 -> dos mil veinticuatro] | numbers[2023 -> dos mil veintitrés]",Y,
corpus:nested-regulation-01:s1,corpus,"slash-citations,numbers,pause","CIRCULAR 1/2024, DE 12 DE JUNIO, POR LA QUE SE ESTABLECEN OBLIGACIONES DE INFORME (DOCUMENTO DE PRUEBA)","CIRCULAR uno, dos mil veinticuatro, DE doce DE JUNIO, POR LA QUE SE ESTABLECEN OBLIGACIONES DE INFORME (DOCUMENTO DE PRUEBA),","slash-citations[1/2024 -> 1, 2024] | numbers[1 -> uno] | numbers[2024 -> dos mil veinticuatro] | numbers[12 -> doce] | pause[ -> , ]",Y,"Calidad oral (no semántica): barra en «Circular uno, dos mil veinticuatro»; preferible «uno de dos mil veinticuatro». Revisión humana 2026-09-02."
corpus:nested-regulation-01:s3,corpus,"roman-headings,pause",CAPÍTULO I. OBJETO Y ÁMBITO DE APLICACIÓN,"CAPÍTULO uno.  OBJETO Y ÁMBITO DE APLICACIÓN,","roman-headings[CAPÍTULO I. -> CAPÍTULO uno. ] | pause[ -> , ]",Y,
corpus:nested-regulation-01:s4,corpus,legal-references,Artículo 1. Objeto. La presente Circular establece las obligaciones de información periódica de las entidades de crédito en relación con sus activos ponderados por riesgo.,artículo uno. Objeto. La presente Circular establece las obligaciones de información periódica de las entidades de crédito en relación con sus activos ponderados por riesgo.,legal-references[Artículo 1.  -> artículo uno. ],Y,"FAIL en round 1 (frontera destruida: «unoObjeto»); PASS en round 2 tras fix legal-references v1.1.0."
corpus:nested-regulation-01:s5,corpus,"abbreviations,acronyms,legal-references,keyword-references,slash-citations,numbers","Artículo 2. Ámbito de aplicación. Será de aplicación a las entidades recogidas en el art. 57.1.b) de la Ley 47/2003, de 26 de noviembre, publicada en el BOE núm. 288, de 2 de diciembre de 2003, sin perjuicio de lo dispuesto en el apartado 3.","artículo dos. Ámbito de aplicación. Será de aplicación a las entidades recogidas en el artículo cincuenta y siete, apartado uno, letra be de la Ley cuarenta y siete, dos mil tres, de veintiséis de noviembre, publicada en el B O E número doscientos ochenta y ocho, de dos de diciembre de dos mil tres, sin perjuicio de lo dispuesto en el apartado tres.","abbreviations[núm. -> número] | acronyms[BOE -> B O E] | legal-references[Artículo 2.  -> artículo dos. ] | legal-references[art. 57.1.b) -> artículo cincuenta y siete, apartado uno, letra be] | keyword-references[número 288 -> número doscientos ochenta y ocho] | keyword-references[apartado 3 -> apartado tres] | slash-citations[47/2003 -> 47, 2003] | numbers[47 -> cuarenta y siete] | numbers[2003 -> dos mil tres] | numbers[26 -> veintiséis] | numbers[2 -> dos] | numbers[2003 -> dos mil tres]",Y,"FAIL en round 1 (frontera destruida: «dosÁmbito»); PASS en round 2 tras fix. Calidad pendiente: coma en «Ley 47/2003»."
corpus:nested-regulation-01:s6,corpus,"keyword-references,percentages","No obstante, quedarán exentas las entidades a que se refiere el apartado 3, salvo que superen un ratio de solvencia del 8,5 % durante dos ejercicios consecutivos.","No obstante, quedarán exentas las entidades a que se refiere el apartado tres, salvo que superen un ratio de solvencia del ocho coma cinco por ciento durante dos ejercicios consecutivos.","keyword-references[apartado 3 -> apartado tres] | percentages[8,5 % -> ocho coma cinco por ciento]",Y,
corpus:nested-regulation-01:s10,corpus,"roman-headings,pause",CAPÍTULO II. INFORMACIÓN PERIÓDICA,"CAPÍTULO dos.  INFORMACIÓN PERIÓDICA,","roman-headings[CAPÍTULO II. -> CAPÍTULO dos. ] | pause[ -> , ]",Y,
